key,te,ta
1,9986000000,9986455000.0
1,9556000000,9556455000.0
1,7445000000,7445455000.0
1,8902000000,8902215000.0
1,10485000000,10485215000.0
1,8316000000,8316215000.0
1,10351000000,10351215000.0
1,9644000000,9644215000.0
2,7646000000,7646215000.0
2,7913000000,7913230000.0
2,8970000000,8970230000.0
2,11182000000,11182230000.0
2,9053000000,9053230000.0
2,10873000000,10873230000.0
1,7703000000,7703050000.0
1,9686000000,9686050000.0
1,11096000000,11096050000.0
1,8619000000,8619050000.0
2,10485000000,10485050000.0
1,7449000000,7449050000.0
1,9228000000,9228050000.0
1,10259000000,10259050000.0
2,7841000000,7841050000.0
2,9580000000,9580050000.0
2,7796000000,7796050000.0
2,8137000000,8137050000.0
1,8001000000,8001235000.0
1,10213000000,10213235000.0
1,8716000000,8716235000.0
2,8676000000,8676235000.0
1,7892000000,7892235000.0
1,9905000000,9905235000.0
1,8087000000,8087580000.0
1,9001000000,9001580000.0
1,9894000000,9894580000.0
2,8259000000,8259580000.0
2,10397000000,10397580000.0
1,7850000000,7850580000.0
1,7500000000,7500050000.0
1,8795000000,8795050000.0
1,10715000000,10715050000.0
2,8056000000,8056050000.0
2,9332000000,9332050000.0
1,8012000000,8012050000.0
1,7858000000,7858050000.0
1,9052000000,9052050000.0
1,8464000000,8464050000.0
1,9972000000,9972050000.0
1,7419000000,7419050000.0
1,7827000000,7827250000.0
1,8674000000,8674250000.0
1,9971000000,9971250000.0
1,10756000000,10756250000.0
1,9852000000,9852250000.0
1,8248000000,8248250000.0
1,8436000000,8436050000.0
1,10238000000,10238050000.0
1,8633000000,8633050000.0
1,10148000000,10148050000.0
1,11189000000,11189050000.0
2,7873000000,7873050000.0
2,10462000000,10462050000.0
1,9346000000,9346050000.0
1,7892000000,7892050000.0
2,7353000000,7353050000.0
2,8649000000,8649050000.0
1,8519000000,8519050000.0
1,9222000000,9222050000.0
1,10004000000,10004050000.0
1,7977000000,7977050000.0
1,9781000000,9781050000.0
1,7929000000,7929050000.0
1,8617000000,8617050000.0
1,9230000000,9230050000.0
1,10129000000,10129050000.0
1,8692000000,8692050000.0
1,10335000000,10335050000.0
1,8359000000,8359050000.0
1,7653000000,7653050000.0
1,9904000000,9904050000.0
1,10240000000,10240050000.0
1,7549000000,7549050000.0
1,8519000000,8519050000.0
1,10255000000,10255050000.0
1,7587000000,7587050000.0
1,8491000000,8491050000.0
1,9460000000,9460050000.0
1,10748000000,10748050000.0
2,8687000000,8687400000.0
2,9995000000,9995400000.0
2,7388000000,7388400000.0
1,7753000000,7753400000.0
1,9076000000,9076400000.0
1,8564000000,8564400000.0
1,10395000000,10395485000.0
1,7811000000,7811485000.0
2,9240000000,9240485000.0
2,9904000000,9904485000.0
1,8034000000,8034485000.0
1,9479000000,9479485000.0
1,8952000000,8952050000.0
1,8213000000,8213050000.0
1,9629000000,9629050000.0
1,9153000000,9153050000.0
1,10543000000,10543050000.0
1,11093000000,11093050000.0
2,8395000000,8395050000.0
2,9924000000,9924050000.0
1,10217000000,10217050000.0
1,11020000000,11020050000.0
2,8372000000,8372050000.0
1,8343000000,8343230000.0
1,9518000000,9518230000.0
2,10515000000,10515230000.0
1,8557000000,8557230000.0
1,7716000000,7716230000.0
1,8613000000,8613230000.0
1,10560000000,10560055000.0
1,10162000000,10162055000.0
1,8149000000,8149055000.0
1,9141000000,9141055000.0
2,7914000000,7914055000.0
2,10874000000,10874055000.0
1,7919000000,7919050000.0
1,9668000000,9668050000.0
1,10293000000,10293050000.0
1,10642000000,10642050000.0
1,7467000000,7467050000.0
1,9856000000,9856050000.0
1,10989000000,10989050000.0
1,9922000000,9922050000.0
1,7542000000,7542050000.0
1,9377000000,9377050000.0
1,10832000000,10832050000.0
1,7992000000,7992050000.0
1,10554000000,10554050000.0
1,10671000000,10671050000.0
1,8682000000,8682050000.0
2,10115000000,10115050000.0
2,10559000000,10559205000.0
1,8519000000,8519205000.0
1,8321000000,8321205000.0
1,8878000000,8878205000.0
1,10544000000,10544205000.0
1,10156000000,10156205000.0
1,11053000000,11053215000.0
1,8738000000,8738215000.0
1,9538000000,9538215000.0
1,7584000000,7584215000.0
1,8295000000,8295215000.0
1,10559000000,10559050000.0
1,8479000000,8479050000.0
1,9659000000,9659050000.0
1,10839000000,10839050000.0
1,7823000000,7823050000.0
1,10097000000,10097050000.0
1,11217000000,11217050000.0
2,7861000000,7861050000.0
1,9991000000,9991050000.0
1,9240000000,9240050000.0
1,10934000000,10934050000.0
1,8476000000,8476050000.0
1,9158000000,9158050000.0
1,10287000000,10287050000.0
1,8877000000,8877050000.0
1,9878000000,9878050000.0
1,8295000000,8295220000.0
2,8550000000,8550220000.0
2,10023000000,10023220000.0
1,7734000000,7734220000.0
1,9183000000,9183220000.0
1,9636000000,9636220000.0
1,7654000000,7654050000.0
1,8294000000,8294050000.0
1,8908000000,8908050000.0
1,10706000000,10706050000.0
2,8605000000,8605050000.0
2,10355000000,10355050000.0
1,10825000000,10825155000.0
2,7265000000,7265155000.0
1,7680000000,7680155000.0
1,9132000000,9132155000.0
1,9169000000,9169155000.0
1,8281000000,8281140000.0
1,10324000000,10324140000.0
2,8555000000,8555140000.0
1,9038000000,9038140000.0
1,9968000000,9968140000.0
1,11021000000,11021140000.0
1,8132000000,8132215000.0
2,9797000000,9797215000.0
2,7528000000,7528215000.0
2,9060000000,9060215000.0
2,10963000000,10963215000.0
2,8106000000,8106235000.0
2,9446000000,9446235000.0
2,10410000000,10410235000.0
2,9030000000,9030235000.0
2,8785000000,8785235000.0
2,10578000000,10578235000.0
1,9085000000,9085050000.0
1,10595000000,10595050000.0
1,7756000000,7756050000.0
1,8048000000,8048050000.0
1,8957000000,8957050000.0
1,8794000000,8794050000.0
1,9105000000,9105240000.0
1,10603000000,10603240000.0
1,9640000000,9640240000.0
1,9972000000,9972240000.0
1,9379000000,9379240000.0
1,10796000000,10796165000.0
2,8587000000,8587165000.0
2,10159000000,10159165000.0
1,7701000000,7701165000.0
1,10280000000,10280165000.0
1,9580000000,9580165000.0
1,10478000000,10478050000.0
1,7810000000,7810050000.0
1,9498000000,9498050000.0
1,10322000000,10322050000.0
1,8546000000,8546050000.0
1,10198000000,10198050000.0
1,7698000000,7698050000.0
1,8896000000,8896050000.0
1,10363000000,10363050000.0
1,9720000000,9720050000.0
1,7382000000,7382050000.0
2,7592000000,7592050000.0
2,9466000000,9466050000.0
1,8117000000,8117050000.0
1,8626000000,8626050000.0
1,9130000000,9130050000.0
1,10200000000,10200050000.0
1,10419000000,10419240000.0
1,8640000000,8640240000.0
1,9856000000,9856240000.0
1,10355000000,10355240000.0
1,8858000000,8858240000.0
